sampleID	isIncluded	subjectID	measurementid	perturbid	exptblock	intv	Clostridium-hiranonis	Clostridium-difficile	Proteus-mirabilis	Clostridium-scindens	Ruminococcus-obeum	Clostridium-ramosum	Bacteroides-ovatus	Akkermansia-muciniphila	Parabacteroides-distasonis	Bacteroides-fragilis	Bacteroides-vulgatus	Enterococcus-faecalis	Klebsiella-oxytoca	Lactobacillus-reuteri	Roseburia-hominis	Escherichia-coli
28	1	2	1	0	1	NA	13743016.7597765	245411.013567438	148391859.537111	82539904.2298484	654429.369513168	256372705.506784	1135434956.10535	84012370.311253	4171987.23064645	483296089.385475	1608750997.60575	16524341.5802075	1943164405.42698	818036.711891461	163607.342378292	371470470.869912
29	1	2	2	0	1	NA	12542369.1387058	104519.742822548	86960426.0283602	33864396.6745056	87169465.5140053	314081827.181758	2231705548.74705	3063891741.10018	17559316.7941881	757141017.00654	1152539204.10424	6271184.5693529	1334926155.32959	89364380.1132788	80584721.7161847	197960392.905906
30	1	2	3	0	1	NA	5063782.7098056	0	60952940.0254378	8439637.84967601	43604795.5566594	219149262.82992	1071646459.40108	1477686813.72438	54013682.2379264	229276828.249532	448238543.571681	1219058.80050876	357184228.549066	10408886.6812671	66954460.2740963	99493952.8722916
31	1	2	4	0	1	NA	7408481.86656765	0	66849432.169823	7270005.56999629	28664593.3902711	204252537.442753	1099778747.36972	879428340.450551	31814929.1372695	181923234.620621	245691569.191732	173095.370714197	114831468.931799	311571.667285555	20217539.2994182	94717786.8548088
32	1	2	6	0	1	NA	1093153.29478266	29544.6836427746	50285051.5600024	11020166.9987549	44198846.7295908	146187094.664449	840309892.167795	809155023.266489	23931193.7506474	301001236.952588	31095779.5340203	118178.734571098	58941643.8673353	29544.6836427746	44863602.1115532	62073380.3334694
33	1	2	8	0	1	NA	3585010.36304072	138953.890040338	83344543.2461946	15118183.2363888	91098170.3104455	157907200.64184	1357857413.47418	1470243319.73881	72311604.3769918	515935793.719774	124002451.471997	111163.11203227	99018542.0427448	0	40796862.1158432	125197454.926344
34	1	2	10	0	1	NA	5843957.49525002	443844.873056963	92911526.7599243	12279708.154576	141512540.359662	187006639.848001	2321160737.7969	1909050773.16351	88842948.7569022	757199353.435179	128271168.313462	295896.582037976	107336485.134276	0	71163127.9801331	263347958.013798
35	1	2	14	0	1	NA	8296864.43446615	0	96613900.7286182	10353938.2611933	194530614.88083	174371291.378904	2394159657.80017	1381325074.64728	133778367.864822	971281691.853	154074829.621863	685691.275575715	74877487.292868	0	101893723.550551	320423533.076532
36	1	2	17	0	1	NA	10031863.5008737	41114.1946757118	48967005.8587727	14924452.6672834	158207421.112139	233651968.34207	1303319971.22006	1480892178.02446	104183369.308254	523630383.389865	174899784.150478	370027.752081406	103319971.220064	0	77541371.1583924	299352451.433858
37	1	2	21	0	1	NA	7284828.66793364	220752.383876777	88816042.4464233	30022324.2072417	265933038.443557	473145942.775892	2447187343.52999	3377879393.95448	190730059.669535	782714369.099092	435323701.005004	441504.767753554	163798268.836569	0	160486983.078417	442682113.800897
38	1	2	24	0	1	NA	2975159.75478674	165286.653043708	50081855.8722434	12396498.9782781	180410381.797207	299003555.356067	1854764177.12997	3055158494.85989	117270880.334511	441728580.259309	348672194.595701	165286.653043708	154543020.595867	0	142229164.94411	337102128.882642
39	1	2	28	0	1	NA	5051966.14164792	54912.6754526947	47224900.8893175	15320636.4513018	127726883.102968	314429979.64213	1281222543.66227	1571271295.40341	168417175.613415	434798564.234437	312178559.94857	109825.350905389	112021857.923497	0	99172291.8675667	294331940.426444
40	1	2	28.75	0	1	NA	3001943.67478599	71474.8493996664	35701687.2751334	9148780.7231573	127153757.082007	193839791.571895	906015190.990171	1314565430.15866	116718429.069655	264564155.052865	201165963.635361	250161.972898832	72868608.9629599	0	67329308.1344858	144271983.513227
41	1	2	29	0	1	NA	1632565.71681025	791547.01421103	38340558.5008468	5243998.96914807	61344893.6013548	87317530.0051543	907360236.727782	1605455231.57352	77423192.3275164	276299379.648038	200360337.972167	98943.3767763788	68914061.9247478	0	118583637.06649	134167218.90877
42	1	2	30	0	1	NA	1959578.94736842	23012491.2280702	58083929.8245614	47381614.0350877	18992842.1052632	106520701.754386	740519859.649123	979739228.070176	111896982.45614	712633543.859649	183145263.157895	1004912.28070175	45824000	100491.228070175	32157192.9824561	517027368.421053
43	1	2	31	0	1	NA	115619.402229646	191928207.701212	19424059.5745805	10174507.3962088	426057497.216244	1248920782.88463	1527216684.05139	821128994.634943	12718134.245261	2639937811.1095	359923199.140887	1618671.63121504	66365536.8798165	115619.402229646	13989947.6697871	1417031393.72654
44	1	2	32	0	1	NA	0	113922351.96491	90832157.7460336	9654436.60719578	299207081.184676	686671803.6868	1541008989.78523	48352636.6743722	7884456.56254322	2698093217.15765	50927153.1029577	5873115.60271077	30331021.6742734	0	97348902.4558908	1106559342.46142
45	1	2	34	0	1	NA	67797.631602736	132951155.572965	39797209.750806	8474703.950342	356683339.861994	837097357.398982	1715415674.81243	16271431.5846566	101357459.24609	2276034290.53545	205969204.809112	3254286.31693133	67323048.1815169	0	131391810.046102	857911230.301022
46	1	2	36	0	1	NA	117267.023972745	351097469.774399	20287195.1472849	11961236.44522	319083572.229839	771030682.620799	1466189600.73123	853117599.40172	126882919.93851	2511038784.32839	382876833.271012	7622356.55822843	77513502.8459845	0	102139577.880261	525708068.469816
