sampleID	isIncluded	subjectID	measurementid	perturbid	exptblock	intv	Clostridium-hiranonis	Clostridium-difficile	Proteus-mirabilis	Clostridium-scindens	Ruminococcus-obeum	Clostridium-ramosum	Bacteroides-ovatus	Akkermansia-muciniphila	Parabacteroides-distasonis	Bacteroides-fragilis	Bacteroides-vulgatus	Enterococcus-faecalis	Klebsiella-oxytoca	Lactobacillus-reuteri	Roseburia-hominis	Escherichia-coli
103	1	4	52	0	1	NA	0	27969851.3145033	39001217.6090275	5693608.410077	100634528.648111	335780555.984291	1019654096.13966	1550583080.37935	70316063.864451	411007357.102434	326813122.73842	782871.156385588	55156831.4726209	0	98855276.0199619	107751539.160707
104	1	4	56	0	1	NA	0	79964844.998402	82813465.4309151	25434111.0045808	313755193.352509	554463619.899861	2522249920.10227	3921939916.90636	162371364.653244	1331730052.19985	445402151.912219	6104186.64109939	125949717.694684	203472.888036646	286489826.355598	327794822.627037
105	1	5	0.75	0	1	NA	77268613.1386861	0	260423844.282238	65105961.0705596	35057055.9610706	253984793.187348	2031162895.37713	538018491.484185	43642457.4209246	975873965.93674	3482095742.09246	23609854.0145985	3216663746.95864	70114111.9221411	52943309.0024331	1415875790.75426
106	1	5	1	0	1	NA	2685542.8646997	0	417911785.791346	7643468.15337607	619740.661084546	425555253.944722	830039325.412569	31400193.4949503	15906676.9678367	490834603.578961	1101692315.18796	124981033.318717	5358071175.51662	1859221.98325364	206580.220361515	1082893515.13506
107	1	5	2	0	1	NA	28222595.9593809	0	437763821.769953	91253060.268665	22891661.1670534	773612713.686586	4497427458.32712	594242437.144743	18815063.9729206	1224233495.83803	2779298533.19992	40452387.5417793	3153091137.46195	940753.198646031	313584.399548677	1066186958.4655
108	1	5	3	0	1	NA	14976997.3891658	0	108449507.880477	7221052.31263351	74884986.945829	313447159.644684	2396854475.03043	2473879033.03185	74350094.1819302	536363718.9995	1543566793.4209	1203508.71877225	1004127441.02898	0	65658086.768575	210881472.167093
109	1	5	4	0	1	NA	7999104.24364573	0	112303213.525921	9788377.56130332	75465233.4564998	430057104.467585	1697178367.48404	1560035830.25417	122196842.458851	250603515.843691	928001343.634531	947262.344642257	299545403.650207	210502.743253835	37364236.9275557	107882655.91759
110	1	5	6	0	1	NA	5950374.90607364	0	120282578.458489	22526419.2872788	83645270.1082352	573021103.454891	2040043533.86945	1464642280.45213	98521207.3734192	287488113.319158	248895681.78548	510032.134806312	122747733.776719	0	95205998.4971782	153519672.5767
111	1	5	8	0	1	NA	1965536.30107449	98276.8150537242	114590766.352642	20441577.5311746	56509168.6558914	424064456.95682	2276778974.34963	1301381584.94142	128054690.015003	615900799.94169	87761195.8429758	98276.8150537242	136211665.664462	0	95426787.4171662	133951298.918226
112	1	5	10	0	1	NA	3833147.97801525	0	115226751.339125	24160447.8614294	130675499.25052	435817309.5004	2863826163.57473	2050153388.24149	203040686.835474	709480843.930822	174001687.002025	116155.999333795	142755723.181235	0	105469647.395086	248109214.576987
113	1	5	14	0	1	NA	2707211.18589378	0	33711225.0052963	7799346.5117416	91851808.0928247	291089659.892769	1458606712.51406	935277007.317113	155729100.59808	527841723.840099	82827770.8065121	64457.4091879471	57753838.6324006	0	79798272.5746786	230241865.619347
114	1	5	17	0	1	NA	11520581.9394192	0	103205213.207297	19200969.899032	238332038.871735	815801208.585122	3912437629.05151	3722108014.92735	480744283.847014	1436952584.81881	535467048.059255	720036.3712137	330736706.510826	0	339617155.089128	723156528.822293
115	1	5	21	0	1	NA	12666651.2982472	0	151049816.731598	21533307.2070203	259666351.614068	1049115393.77733	3953578536.46542	4378228021.23916	500016059.998309	1373698333.29491	803065692.308874	316666.282456181	227049724.521082	0	383799534.336891	622882577.591308
116	1	5	24	0	1	NA	9401409.39561295	0	147561251.818099	27386714.3263508	283064174.193999	990622420.446434	3463397469.95776	4134780727.8836	464756629.687475	1253248748.12823	977746577.143747	408756.930244041	233604585.63447	0	307180833.078397	400173034.708916
117	1	5	28	0	1	NA	8627169.5743822	0	126531820.424272	16638112.7505943	226976723.326008	802326770.417545	2472300309.45867	2769732250.97547	313659236.66861	1017800600.97771	711741489.886532	205408.799390052	218349553.751626	0	242793200.879042	232317352.110149
118	1	5	28.75	0	1	NA	4121459.66834613	0	53780022.5015898	7237685.27124199	73985227.2171403	286491708.653329	1072685271.24199	1292429437.94942	140029105.317223	459090397.691141	330319913.906961	100523.406545028	118014479.283862	0	147668884.214646	124045883.676564
119	1	5	29	0	1	NA	7782127.54418967	3891063.77209484	85992509.3632959	17509786.9744268	142412934.058671	448445099.73393	2286389072.48293	2434833155.38834	161090040.164726	902337688.748792	557589438.54119	194553.188604742	168093954.954497	194553.188604742	242024166.624299	193969529.038928
120	1	5	30	0	1	NA	5218469.8839017	9953748.11188657	89873648.0005292	14785664.6710548	38848609.1357126	453620326.574714	1042920870.13087	1955669908.15775	93449266.2543137	945122878.973307	298322528.363047	6764683.18283553	90840031.3123629	0	49092272.2411493	748753790.00871
121	1	5	31	0	1	NA	0	49979727.9185096	5010499.03944958	2881036.94768351	25428282.6252066	666772159.674753	967652626.993701	2229171022.65112	7766273.51114685	2665209701.55922	76284847.8756199	1127362.28387616	97454206.3172944	0	34071393.4682572	647356475.896886
122	1	5	32	0	1	NA	0	304606849.97588	17607332.368548	11684866.0264	18247599.0001316	2027724422.22515	1438358987.85248	915421216.5066	480199.973687673	3728752795.68478	2881199.84212604	9123799.50006578	85155462.000614	0	7683199.57900276	1165605402.79788
123	1	5	34	0	1	NA	0	175624066.740245	79079887.0349932	10400084.399143	403444783.483737	1789206972.66766	2183625267.80497	2993262026.87788	29630429.1371811	2325498117.24989	1061593520.74271	4120788.15815101	83396903.2006752	0	210748880.088295	740368272.414465
124	1	5	36	0	1	NA	0	364647516.226464	90101857.2071204	14416297.1531393	350867232.183022	1444597776.49251	1516679262.25821	3467331469.69989	134410770.516034	482097937.150569	2380597069.59707	636013.10969732	217516483.516483	0	207976286.871024	324790694.685431
125	1	5	38	0	1	NA	0	230634067.394948	100374544.823999	12831050.2283105	241678515.692735	1411577943.47148	2030716721.57679	3102677879.89134	101186636.610601	1541512629.32778	1051983700.36414	3898040.57568927	151211490.665279	0	173137968.903532	149912143.806716
126	1	5	42	0	1	NA	0	183822472.132445	188717652.749379	15529538.5088934	276155706.527714	1060734999.89007	2313901237.82512	3365521073.8078	132507475.320449	1206240023.74514	1058203009.91579	1350394.65294725	143817030.538883	0	214712749.818614	75453301.2334279
127	1	5	45	0	1	NA	0	92781671.7229836	117817995.838709	9257128.24447002	133281607.79254	505355046.43675	1525637851.47214	2033201985.33087	139382896.862759	750984528.83263	421094140.484244	1051946.39141705	119606304.704118	0	120553056.456394	63327172.7633062
128	1	5	49	0	1	NA	0	62084409.9913867	49987080.1033592	9282227.96439851	76996841.8030434	308367786.391042	1206841803.04335	1967604076.94516	116712604.076945	570933103.646282	268271604.938272	532586.850416308	99898076.3709446	0	89018087.8552972	120136376.686764
129	1	5	52	0	1	NA	0	90859120.9884099	75969730.5843502	11505438.0395007	186455775.287202	345332338.803249	2716467760.64976	3250963036.63186	218434125.132285	1106721620.82903	358698950.643257	1522778.56405156	116915554.195514	0	150755077.841105	216065358.477094
130	1	5	56	0	1	NA	0	69328694.4187696	70155676.8571644	9923789.26073839	175871598.565308	320042203.658813	2352627206.82699	2877485394.39494	197648802.776373	977079750.963534	343611203.153067	1378304.06399144	126114821.855217	0	168428756.619754	213637129.918674
