Sample	Subject	Time	Group	Strain4	Strain6	Strain7	Strain9	Strain13	Strain14	Strain15	Strain16	Strain21	Strain26	Strain27	Strain28	Strain29
35	1	42	Low_fiber	0.160641109575423	0.0100425951520736	0.0491016221721103	0.00466768507068209	0.00751679154239713	0.00109114715938023	0.0117601416066536	0.0130533530548079	0.000488995578833362	0.00248539075192163	0.351591862466963	0.0339468005140516	0.353612505354704
36	1	43	Low_fiber	0.16064849184156	0.0112299639441005	0.0356615648911894	0.00598359910914668	0.0118128933702065	0.00109384992310475	0.0134588117497998	0.0102184099399754	0.000588072921042209	0.00281177723180532	0.320611184358289	0.0264032740059767	0.399478106713804
37	1	44	Low_fiber	0.156011648869782	0.00824061529927568	0.0413364197860107	0.00442699721579211	0.0169345977833012	0.00097073914852309	0.0338691955666023	0.0156811708607576	0.000928069295840756	0.00234684189752835	0.456034050542441	0.0349359418836606	0.228283711850485
38	1	45	Low_fiber	0.158874886555715	0.00522531251388304	0.035752138252884	0.00319442182022809	0.0173895015644205	0.000903323256448607	0.0342712804554272	0.00835626899993442	0.000334250759997377	0.00178549140150497	0.450603872654691	0.0146393370834294	0.268669914681436
39	1	46	Low_fiber	0.127503586038357	0.0100409074005206	0.036922913456941	0.00536577591244754	0.0125644158741965	0.00173192371035435	0.0393136056951602	0.0143441534293152	0.000313446315677628	0.00390479732242469	0.470169473516443	0.0249428890187537	0.252882112309409
40	1	47	Low_fiber	0.141378365685661	0.00728905760801503	0.0443539970778543	0.00352222917971196	0.0130779064913379	0.00141215299519933	0.046636923398038	0.0156706585264037	0.000378313504487581	0.00324501669797537	0.419080045919432	0.0202202045501983	0.283735128365686
41	1	48	Low_fiber	0.164819462874638	0	0.0476292802661923	0.00595919832167708	0.0161053426760566	0.00144660093087551	0.0491800010190451	0.0173459192783389	0.000664594608365474	0.00312359465931773	0.374388296045884	0.0136241894714922	0.305713519848118
42	1	49	Low_fiber	0.112412438456176	0.00933460177992981	0.0484604858362314	0.00514396140638685	0.0160674315743898	0.00166632572199173	0.0665338637505636	0.0129095556530944	0.000603769987467801	0.00313801506644449	0.508437884183411	0.0204566804964419	0.194834986087471
43	1	50	High_fiber2	0.339511739679374	0.0063446256352583	0.0770267259397579	0.00277975236862487	0.00394682397377272	0.00218560682418597	0.113099848280691	0.018439731361336	0.000575048009081939	0.0013028763010196	0.297072772219452	0.0314048359203421	0.106309613487104
44	1	51	High_fiber2	0.398157219987076	0.00439849075483104	0.063580079631444	0.00589939755268808	0.00122782514435805	0.00194909424443935	0.167184340539076	0.0143003064351379	0.000391903441662671	0.00103812720185112	0.229305205228159	0.0337704029517834	0.0787976068874945
45	1	52	High_fiber2	0.432180559333784	0.00320296252095088	0.064498012408189	0.00432180559333784	0.000938950656826698	0.000879717788288565	0.161025650025887	0.014259764648069	0.000539677246680765	0.000708600612511737	0.239125284098388	0.0322490062040945	0.0460700088629922
46	1	53	High_fiber2	0.464462790724678	0.00693791293644988	0.0600898735500052	0.00435433866304386	0.00109439045064502	0.00142822308147839	0.129178713670301	0.0165464869195667	0.000438336758746415	0.00108568177331893	0.208427677337699	0.0339638415717421	0.0719917325623251
47	1	54	High_fiber2	0.41430301485117	0.00286825164127733	0.0599145898400153	0.00316569995963201	0.00105381689931374	0.00101557354409671	0.140650561964859	0.0168908152208554	0.000786113412794527	0.000713875964051246	0.227335500456796	0.0397305968088045	0.0915715894363354
48	1	55	High_fiber2	0.472191168814397	0.00615462848240987	0.00916131583939043	0.00349098599166199	0.00113810179150137	0.000696179287354559	0.149325412360108	0.0154168398706923	0.000482280723703593	0.000714340486155113	0.203809008761769	0.0522638943260379	0.0851558432648185
49	1	56	High_fiber2	0.50944983965976	0.00379813050103482	0.0171257021992768	0.00266096568036571	0.00134640314767222	0.000932475152948668	0.153972116718597	0.0127135026950806	0.000682298892401465	0.000745980122358935	0.170574723100366	0.050944983965976	0.0750528781641611
50	1	57	High_fiber2	0.347357815227217	0.00269687744741628	0.028479025844716	0.0028479025844716	0.00214671444814336	0.000459547917039735	0.152751138621658	0.014110062804882	0.000532902983609458	0.000720605653949631	0.263215238867829	0.0696873132412368	0.11499485435783
51	1	58	High_fiber2	0.349282351988712	0.00275262250905011	0.0259070353792952	0.00191989637185848	0.00130691740975909	0.000922938135387391	0.152435145669246	0.00983079467517898	0.000326151070400055	0.000555150758127754	0.208644159929681	0.0714756601089483	0.174641175994356
52	1	59	High_fiber2	0.436722501606988	0.00461299958407381	0.0276023745604416	0.00512345445608197	0.000875335576814005	0.000487767988807804	0.116837448481869	0.0143305478882293	0.000623889288009982	0.000678715922410859	0.223087684803569	0.0637123303210194	0.105304949521685
53	1	60	High_fiber2	0.411847907479824	0.00341126549629753	0.0193027706131958	0.0018033946251768	0.00205507945752558	0.000534570263749064	0.126674432149097	0.01114901406107	0.000224644313170813	0.000540810383559364	0.187619602296364	0.0559530742990265	0.178883434561944
